,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
54,The Hong Kong Jockey Club,Senior Big Data Analytics Modelling Analyst (Retail),Data Analyst,Hong Kong,3.6,10000+ Employees,1884,Non-profit Organisation,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation",,,
55,Chappuis Halder & Co.,Business Analyst / Data Analyst,Data Analyst,Hong Kong,3.7,51 to 200 Employees,2009,Company - Private,Consulting,Business Services,,,
56,中国太平人寿保险(香港)有限公司,Data Analyst,Data Analyst,Hong Kong,4.0,,,,,,,,
58,ACW Solutions Limited,Data Science Analyst (Fresh Graduates Welcome),Data Analyst,Hong Kong,4.0,,,,,,,,
59,MediConCen Limited,Data Analyst (Intern),Data Analyst,Kwun Tong,3.4,1 to 50 Employees,,Company - Private,,,,,
60,Morgan Stanley,Research - China Consumer Team - Analyst,Data Analyst,Hong Kong,4.0,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,,,
61,Dairy Farm,Financial Analyst (Job Rotation Opportunities),Data Analyst,Quarry Bay,3.0,10000+ Employees,1886,Company - Public,Grocery Stores & Supermarkets,Retail,,,
62,Morgan Stanley,"Business Analyst (Front to Back Data Quality), Associate",Data Analyst,Hong Kong,4.0,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,,,
63,Société Générale,TRAINEE: HR Data Analyst,Data Analyst,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
64,General Reinsurance AG,Data Analytics Associate (Contract),Data Analyst,Hong Kong,3.5,501 to 1000 Employees,1846,Unknown,Insurance Carriers,Insurance,,,
65,DBS Bank,"Specialist, Data Analyst, Corporate Banking",Data Analyst,Hong Kong,3.8,10000+ Employees,1968,Company - Public,Banks & Credit Unions,Finance,,,
66,Macquarie Group Limited,Risk Surveillance Analyst,Data Analyst,Hong Kong,4.0,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,,,
67,Cogney,Data Analytics Intern (Paid Internship),Data Analyst,Central,0.0,,,,,,,,
68,foodpanda Hong Kong,Data and Insights Analyst,Data Analyst,Hong Kong,3.8,1001 to 5000 Employees,2012,Company - Private,Internet,Information Technology,,,
70,DBS Bank,"Officer, Business Analyst, T&M (HKMA Banking Talent Programme 2021)",Data Analyst,Hong Kong,3.8,10000+ Employees,1968,Company - Public,Banks & Credit Unions,Finance,,,
71,Swire Properties,Customer Data Analyst (2-year contract),Data Analyst,Hong Kong,3.7,1001 to 5000 Employees,1972,Company - Private,,,,,
72,Crypto.com,Data Analyst / Data Scientist,Data Analyst,Hong Kong Island,4.4,201 to 500 Employees,2016,Company - Private,Internet,Information Technology,,,
73,DFS Group,Data Privacy Analyst,Data Analyst,Hong Kong,4.5,5001 to 10000 Employees,1960,Subsidiary or Business Segment,"Gift, Novelty & Souvenir Stores",Retail,,,
74,Deskimo,DATA ANALYST (SUMMER INTERN 2021),Data Analyst,Hong Kong,0.0,,,,,,HK$126K,126.0,126.0
75,Urban Spring,Senior Data Analyst,Data Analyst,Kowloon City,0.0,,,,,,HK$540K,540.0,540.0
76,TBM The Beauty Medical,Data Analyst,Data Analyst,Hong Kong,4.0,,,,,,,,
77,Bloomberg,2021 Market Data Analyst (Chinese Speaker) - Hong Kong,Data Analyst,Hong Kong,3.9,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,,,
78,Sapientia Technologies Limited,"Quantitative Analyst, Junior Level",Data Analyst,Hong Kong,4.0,,,,,,,,
79,中国太平人寿保险(香港)有限公司,Data Analyst,Data Analyst,Hong Kong,0.0,,,,,,,,
80,Amgen,Data & Insights Analyst,Data Analyst,Hong Kong,4.0,10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,HK$240K - HK$360K,240.0,360.0
81,Aegon,"Data Warehouse System Analyst, Information Technology (One Year Contract)",Data Analyst,Hong Kong,3.6,10000+ Employees,1844,Company - Public,Insurance Carriers,Insurance,,,
82,Kontoor Brands,Master Data Analyst,Data Analyst,Kwun Tong,3.8,10000+ Employees,2019,Company - Public,"Department, Clothing, & Shoe Stores",Retail,,,
83,Bond West Consultants,Business Analyst / Data Analyst – Power BI,Data Analyst,Hong Kong,2.3,201 to 500 Employees,,Unknown,,,,,
84,China Unicom (HK) Operations Limited,Data Analyst Engineer,Data Analyst,Hong Kong,4.0,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,HK$240K - HK$401K,240.0,401.0
85,eClerx LLC,Senior Data Analyst,Data Analyst,Hong Kong,3.5,5001 to 10000 Employees,2000,Company - Public,Consulting,Business Services,,,
86,Top20Talent,Data Analyst (Deep Learning),Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
87,Pacific Careers,Systems Analyst (Data Migration),Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
88,HamlynWilliams,"Assistant Manager, Credit Risk Data Analyst",Data Analyst,Hong Kong,3.5,51 to 200 Employees,2011,Company - Private,Staffing & Outsourcing,Business Services,HK$384K - HK$480K,384.0,480.0
89,Page Personnel,Data Process Analyst (Python; Up to ~22k) - MNC Insurance Co.,Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,,,
90,Sun Life Financial,Business Intelligence Data Analyst,Data Analyst,Hung Hom,4.0,10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,,,
91,Prive Financial,Business Analyst - Data,Data Analyst,Hong Kong,2.7,1 to 50 Employees,2011,Company - Private,Investment Banking & Asset Management,Finance,,,
92,Infotech Services,Data Analysts,Data Analyst,Tseung Kwan O,5.0,501 to 1000 Employees,,Company - Private,,,,,
93,Michael Page HK,Project Manager/Business Analyst (Data Warehouse)- Insurance,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
94,Michael Page HK,Data Process Analyst (Python; Up to ~22k) - MNC Insurance Co.,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$178K - HK$298K,178.0,298.0
95,South China Morning Post,Commercial Data Analyst,Data Analyst,Hong Kong,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,HK$230K - HK$276K,230.0,276.0
96,Sun Hung Kai Properties,Data Analyst / Assistant Data Analyst - SQL / Database,Data Analyst,Hong Kong,3.7,10000+ Employees,1972,Company - Public,Real Estate,Real Estate,HK$273K,273.0,273.0
97,中國移動,(Senior) Customer Data Analyst,Data Analyst,Hong Kong,4.1,,,,,,,,
98,Elee Consulting Limited,(急聘) Senior Data Analyst,Data Analyst,Hong Kong,2.0,Unknown,,Company - Private,,,,,
99,KOS International Limited,System Analyst (Data Warehouse/BI) ~30-45K,Data Analyst,Hong Kong,4.0,1 to 50 Employees,,Company - Private,,,,,
100,Michael Page HK,Analyst Programmer / System Analyst - Data,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$312K - HK$558K,312.0,558.0
101,MediConCen Limited,Data & Operating Analyst,Data Analyst,Kwun Tong,3.4,1 to 50 Employees,,Company - Private,,,HK$200K - HK$336K,200.0,336.0
102,Swing Consulting,Data Analyst / Engineer,Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,HK$185K - HK$420K,185.0,420.0
103,S.F. Express (Hong Kong) Limited,(Senior) Data Analyst,Data Analyst,Hong Kong,2.6,5001 to 10000 Employees,,Company - Private,Federal Agencies,Government,HK$282K - HK$450K,282.0,450.0
104,Eternity Consulting,Analyst Programmer / Data Analyst (1-year contract),Data Analyst,Lai Chi Kok,3.0,Unknown,,Company - Private,,,,,
105,PwC,Associate / Senior Associate - Data Analyst / Engineer - Actuarial - Hong Kong,Data Analyst,Hong Kong,3.9,10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,,,
106,South China Morning Post,Senior Data Analyst (Magazines),Data Analyst,Hong Kong,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,,,
107,Page Personnel,"Data Analyst, Commercial Banking, Top Tier",Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,HK$204K - HK$423K,204.0,423.0
108,Citi,"Infrastructure Technology Analyst (Data Center), Officer",Data Analyst,Hong Kong,3.9,10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,,,
109,Aptitude Asia,Data Analyst Lead / Data Analyst - multi-strategies Hedge Fund,Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,HK$180K - HK$414K,180.0,414.0
110,Besteam Consultancy,Data Analyst - 6 months contract,Data Analyst,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
111,Page Personnel,Data Analyst - machine learning,Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,HK$204K - HK$423K,204.0,423.0
112,INSPIRE SOLUTIONS LIMITED,CRM Data Analyst,Data Analyst,Hong Kong,1.0,Unknown,,Company - Private,,,HK$185K - HK$420K,185.0,420.0
113,Mega Jobs,"Data Analyst, Core Banking Project",Data Analyst,Tsim Sha Tsui,0.0,Unknown,,Company - Private,,,HK$190K - HK$396K,190.0,396.0
114,P & A Consultant Limited,Sr. Data Analyst /Data Architect / Data Engineer X2 - (Top Urgent ),Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,HK$216K - HK$456K,216.0,456.0
115,HillmanStep Ltd.,Data Analyst/ Business Analyst,Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
116,Chinasoft International Technology Service (Hong Kong) Limited,Senior Technical Lead / System Analyst (Data warehouse / Business Intelligence),Data Analyst,Hong Kong,3.2,5001 to 10000 Employees,,Company - Private,IT Services,Information Technology,HK$435K - HK$720K,435.0,720.0
117,Pinpoint Asia,Data Management Analyst (Governance / Strategy),Data Analyst,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
118,Michael Page HK,Data Analytics & Business Intelligence Analyst,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$205K - HK$421K,205.0,421.0
119,METRO Sourcing International Limited,Senior Supply Chain Data Analyst,Data Analyst,Hong Kong,3.5,10000+ Employees,1964,Company - Private,Wholesale,Business Services,HK$240K - HK$450K,240.0,450.0
120,Pinpoint Asia,Data Protection Analyst,Data Analyst,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
121,Hyphen Group,Marketing Data Analyst,Data Analyst,Hong Kong,3.5,201 to 500 Employees,2014,Company - Private,Internet,Information Technology,,,
122,Classy Wheeler,Senior Data Analytics Analyst / Senior BI Developer,Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,,,
123,Headsearch21 Consultancy Limited,"Data Visualization Analysts (Tableau), 5 Days Work",Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,HK$240K - HK$432K,240.0,432.0
124,South China Morning Post,Senior Data Analyst (Data),Data Analyst,Remote,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,,,
125,Robert Walters,Customer data and KYC Analyst (30K),Data Analyst,Hong Kong,4.0,1001 to 5000 Employees,1985,Company - Public,Staffing & Outsourcing,Business Services,,,
126,Seamatch Asia,Project Manager/ System Analyst /Data / Business Analyst / Analyst Programmer/ Trainee,Data Analyst,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,,,
127,Walters People,"Data Analyst, global company",Data Analyst,Hong Kong,3.9,201 to 500 Employees,2004,Private Practice / Firm,Staffing & Outsourcing,Business Services,,,
129,Dah Sing Bank 大新銀行,"Data Analyst/ Assistant Manager, Core Banking Project (contract)",Data Analyst,Hong Kong,3.1,1001 to 5000 Employees,2004,Company - Public,Banks & Credit Unions,Finance,HK$288K - HK$476K,288.0,476.0
130,Fresenius Medical Care Asia-Pacific Ltd,Senior Medical Data Analyst,Data Analyst,Hong Kong,3.5,10000+ Employees,1996,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,,,
131,Mandurah Consultancy,Business Analyst (Data Warehouse),Data Analyst,Hong Kong,4.1,,,,,,,,
132,Manpower Services (Hong Kong) Limited,"Onsite with HSBC - (Senior) Data Scientist / (Senior) Data Analyst (1 Year Contract, up to 45k)",Data Analyst,Hong Kong,2.2,Unknown,,Company - Public,,,HK$282K - HK$456K,282.0,456.0
133,Tangspac Consulting (HK) Ltd.,"Data Analyst (Retail Banking, 2 vacancies)",Data Analyst,Hong Kong,2.9,51 to 200 Employees,,Company - Private,IT Services,Information Technology,,,
134,Adecco Personnel Limited,Data Analyst / CRM Specialist,Data Analyst,Kwun Tong,3.6,10000+ Employees,1996,Company - Public,Staffing & Outsourcing,Business Services,,,
135,Deskimo,DATA ANALYST (SUMMER INTERN 2021),Data Analyst,Hong Kong,3.9,,,,,,,,
136,LinkedTech Solutions Limited,Big Data Analysts,Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
137,Levin Human Capital,IT System and Data Analyst (PRC Asset Management),Data Analyst,Sheung Wan,0.0,1 to 50 Employees,,Company - Private,,,HK$185K - HK$420K,185.0,420.0
138,Haitong,"Assistant Manager, Risk Manager (Portfolio Management - Data Analyst) (RM-JW)",Data Analyst,Hong Kong,3.6,501 to 1000 Employees,1973,Company - Private,Investment Banking & Asset Management,Finance,,,
139,Eastech Systems Limited,System Analyst/Consultant (Data Services),Data Analyst,Hong Kong,3.4,51 to 200 Employees,,Company - Private,,,,,
140,Michael Page HK,CRM Data Analyst - Large conglomerate,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$185K - HK$420K,185.0,420.0
141,DBS Bank,"Specialist, Data Analyst, Corporate Banking",Data Analyst,Hong Kong,3.8,10000+ Employees,1968,Company - Public,Banks & Credit Unions,Finance,HK$246K - HK$408K,246.0,408.0
142,Page Personnel,Senior/System Analyst (Data Warehouse),Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,HK$516K - HK$600K,516.0,600.0
143,Classy Wheeler,Technical Analyst (Data Centre / Infrastructure),Data Analyst,Sha Tin,0.0,1 to 50 Employees,,Company - Private,,,HK$223K - HK$432K,223.0,432.0
144,Swing Consulting,Analyst Programmer (Data Warehouse),Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,HK$213K - HK$468K,213.0,468.0
145,Headsearch21 Consultancy Limited,Business Analyst (Retail operations & planning / data analysis),Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,HK$150K - HK$267K,150.0,267.0
146,Swing Consulting,Data Analyst / Senior Data Analyst,Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,,,
147,IT-RecruitHK,Data Analyst/Programmer/Analyst Programmer-Wan Chai,Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,,,
148,Hong Kong Exchange,Business Transformation Analyst – Group Strategy & Projects ( Innovation & Data Lab),Data Analyst,Hong Kong,3.4,1001 to 5000 Employees,2000,Company - Public,Stock Exchanges,Finance,HK$420K - HK$600K,420.0,600.0
149,Michael Page HK,"Customer Data Analyst (Salesforce, SQL)",Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
150,Michael Page HK,Senior Data Analyst with an International Bank,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
151,Eternity Consulting,Assistant Data Analyst / Data Analyst - BI / Reporting tools,Data Analyst,Lai Chi Kok,3.0,Unknown,,Company - Private,,,HK$185K - HK$432K,185.0,432.0
152,Simatelex,Data Analyst / Assistant Data Analyst,Data Analyst,Wong Chuk Hang,3.0,Unknown,,Company - Private,,,,,
153,Swing Consulting,Senior Data Analyst (Data Analytics Projects),Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,,,
154,SUPER Corporate Consultancy Group,SENIOR DATA ANALYST (BANK),Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,,,
155,Swing Consulting,Senior Data Analyst (Data Mining/ETL),Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,HK$336K - HK$456K,336.0,456.0
156,資訊科技組,Data Analyst (Youth Worker),Data Analyst,Hong Kong,3.9,,,,,,,,
157,SUPER Corporate Consultancy Group,ACCOUNTING DATA ANALYST – BANKING,Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,,,
158,Links International,BI Analyst (Azure Data Factory & Azure Databricks),Data Analyst,Hong Kong,4.1,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,,,
159,Eternity Consulting,Assistant Data Analyst ( Fresh graudate will consider),Data Analyst,Lai Chi Kok,3.0,Unknown,,Company - Private,,,,,
160,IT Solutions Ltd.,Major Bank: Data Warehouse (DataStage / Informatica / ETL) Programmer / AP / System Analyst,Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
161,Able Choice Personnel Consultancy,Data Analyst (5 Days Work),Data Analyst,Hong Kong,0.0,51 to 200 Employees,,Company - Private,,,,,
162,YesStyle.com Ltd,Business Planning Analyst (Social Media Data),Data Analyst,Hong Kong,2.4,51 to 200 Employees,,Company - Private,,,,,
163,Excel Technology International (Hong Kong) Limited,BI Specialist / Data Analyst,Data Analyst,Hong Kong,2.0,201 to 500 Employees,1988,Company - Private,IT Services,Information Technology,HK$185K - HK$420K,185.0,420.0
164,Network Guard,Senior TechOps Data Analyst,Data Analyst,Hong Kong,5.0,Unknown,,Company - Private,,,HK$282K - HK$456K,282.0,456.0
165,Eternity Consulting,"Data Analyst / Senior Data analyst - SQL, Tableau, database structure",Data Analyst,Lai Chi Kok,3.0,Unknown,,Company - Private,,,HK$276K - HK$480K,276.0,480.0
166,Zurich Insurance,Senior Business & Data Analyst,Data Analyst,Hong Kong,3.7,10000+ Employees,1912,Company - Public,Insurance Carriers,Insurance,HK$240K - HK$450K,240.0,450.0
167,HillmanStep Ltd.,"Sales Admin, Data Analyst",Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
168,Pinpoint Asia,Business Analyst Senior Manager (Data Management)- Leading Global Insurance Firm,Data Analyst,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
169,ELEVATE,Operations & Data Analyst,Data Analyst,Quarry Bay,2.5,501 to 1000 Employees,2008,Company - Private,Consulting,Business Services,HK$196K - HK$300K,196.0,300.0
170,STA Pacific,Account Manager / Business Analyst (ICT / Data-Center / Cloud / SAP),Data Analyst,Hong Kong,4.5,1 to 50 Employees,,Company - Private,,,,,
171,Global Executive Consultants,AI System Architect/ System Analyst/ Analyst Programmer/ Data Scientist/ Engineer (HK$35K - $80K) Hong Kong 27/11/2020,Data Analyst,Hong Kong,3.0,1 to 50 Employees,,Contract,,,,,
172,Swing Consulting,Analyst Programmer (Data Warehouse/ ETL),Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,HK$240K - HK$330K,240.0,330.0
173,PEOBASE Limited,Analyst - BI / Data Analysis,Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,HK$228K - HK$450K,228.0,450.0
174,中國移動,Analyst Programmer/Senior Analyst Programmer- Big Data,Data Analyst,Hong Kong,0.0,,,,,,,,
175,Synechron Ltd.,Data Engineer,Data Engineer,Hong Kong,3.9,10000+ Employees,2001,Company - Private,IT Services,Information Technology,,,
176,NLS,Data Engineer – Global Investment Bank,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
177,Miscato Limited,Hardware Engineer,Data Engineer,Kwun Tong,3.9,,,,,,HK$216K - HK$456K,216.0,456.0
178,Vivian Health,Software Engineer,Data Engineer,Hong Kong,3.8,1 to 50 Employees,,Company - Private,,,,,
179,SearchAsia,Data Engineer/ Analyst #JES,Data Engineer,,3.7,51 to 200 Employees,2005,Company - Private,Staffing & Outsourcing,Business Services,HK$118K - HK$420K,118.0,420.0
180,CXC Global,Data Engineer,Data Engineer,Hong Kong,3.5,51 to 200 Employees,1992,Company - Private,Staffing & Outsourcing,Business Services,HK$240K - HK$456K,240.0,456.0
181,Michael Page,Data Engineer,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$118K - HK$354K,118.0,354.0
182,Eastech Systems Limited,Data Engineer,Data Engineer,Hong Kong,3.4,51 to 200 Employees,,Company - Private,,,,,
183,Match Talent,Data Engineer,Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,HK$216K - HK$420K,216.0,420.0
184,lalamove,Data Engineer,Data Engineer,Hong Kong,3.6,501 to 1000 Employees,2013,Company - Private,Logistics & Supply Chain,Transportation & Logistics,,,
185,Autotoll Limited,Data Engineer,Data Engineer,Hong Kong,4.2,Unknown,,Company - Private,,,HK$222K - HK$420K,222.0,420.0
186,Infotech Services,Data Engineer,Data Engineer,Tseung Kwan O,5.0,501 to 1000 Employees,,Company - Private,,,,,
187,Pacific Careers,Data Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,HK$216K - HK$456K,216.0,456.0
188,HamlynWilliams,Data Engineer,Data Engineer,Hong Kong,3.5,51 to 200 Employees,2011,Company - Private,Staffing & Outsourcing,Business Services,HK$144K - HK$420K,144.0,420.0
189,Macroview Telecom Limited,Data Engineer,Data Engineer,Quarry Bay,3.0,501 to 1000 Employees,1991,Company - Private,Internet,Information Technology,HK$168K - HK$240K,168.0,240.0
190,Yetee.Shop,Software Engineer,Data Engineer,Central,3.9,,,,,,HK$144K - HK$600K,144.0,600.0
191,PEOBASE Limited,Data Engineer,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
192,Chain of Demand,Data Engineer,Data Engineer,Hong Kong,3.9,,,,,,HK$192K - HK$438K,192.0,438.0
193,Mandurah Consultancy,Data Engineer,Data Engineer,Hong Kong,4.1,,,,,,,,
194,Top20Talent,Data Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
195,E-Buy Global Limited,Data Engineer,Data Engineer,Hong Kong,3.9,,,,,,,,
196,Capital Crux Company Limited,Data Engineer,Data Engineer,Hong Kong,3.9,,,,,,,,
197,Classy Wheeler,Data Engineer,Data Engineer,Kwun Tong,,1 to 50 Employees,,Company - Private,,,HK$216K - HK$420K,216.0,420.0
198,BFAM Partners,Junior Data Engineer,Data Engineer,Hong Kong,4.0,51 to 200 Employees,2012,Company - Private,Investment Banking & Asset Management,Finance,HK$254K - HK$735K,254.0,735.0
199,China Unicom (HK) Operations Limited,Data Analyst Engineer,Data Engineer,Hong Kong,4.0,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,,,
200,Morgan McKinley,Senior Data Engineer,Data Engineer,Hong Kong,4.4,501 to 1000 Employees,1988,Company - Private,Staffing & Outsourcing,Business Services,,,
201,Aptitude Asia,Data Analytics Engineer - Hedge Fund (Multi-strategies),Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
202,Pacific Cloud Computing Ltd,Big Data Engineer,Data Engineer,Causeway Bay,,Unknown,,Company - Private,,,,,
203,Jellibeans Hong Kong Limited,Junior Data Engineer,Data Engineer,Hong Kong,3.9,,,,,,,,
204,Macroview Telecom Limited,Senior Systems Engineer / Systems Engineer (Data Centre Virtualization),Data Engineer,Quarry Bay,3.0,501 to 1000 Employees,1991,Company - Private,Internet,Information Technology,,,
205,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Data Engineer,Hong Kong,,,,,,,HK$240K - HK$360K,240.0,360.0
206,Momenta,Machine Learning Engineer,Data Engineer,Kowloon City,2.6,1 to 50 Employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,HK$600K,600.0,600.0
208,Jellibeans Hong Kong Limited,Junior Data Engineer,Data Engineer,Hong Kong,,,,,,,,,
209,Vibro (H.K.) Limited,Planning Engineer,Data Engineer,Hong Kong,4.0,Unknown,,Company - Private,,,,,
210,Doo Technology Limited,Data Center Engineer,Data Engineer,Hong Kong,4.1,1 to 50 Employees,,Company - Private,,,,,
211,PeopleLink Services Limited,Data Center Engineer (MNC) (On Job training will be provided),Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
212,OPS Communication Ltd.,Systems Engineer / Senior Systems Engineer,Data Engineer,Hong Kong,4.1,,,,,,,,
213,Aptitude Asia,Data Engineer - multi-strategies Hedge Fund,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
214,Shui On Building Contractors Limited,Engineer (SQCC),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Company - Public,Metal & Mineral Manufacturing,Manufacturing,,,
215,Vibro (H.K.) Limited,Geotechnical Engineer,Data Engineer,Hong Kong,4.0,Unknown,,Company - Private,,,,,
216,China Telecom Global Limited,IDC Project Engineer (Data Center),Data Engineer,Hong Kong,3.8,10000+ Employees,1997,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,,,
217,Computime Ltd,Intern – Software Engineer,Data Engineer,Hong Kong,3.0,Unknown,,Company - Public,,,,,
218,Elee Consulting Limited,Data Scientist (2 Vacancies),Data Engineer,Hong Kong,2.0,Unknown,,Company - Private,,,,,
219,P & A Consultant Limited,Sr. Data Analyst /Data Architect / Data Engineer X2 - (Top Urgent ),Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
220,Elee Consulting Limited,Data Engineer (2 Vacancies),Data Engineer,Hong Kong,2.0,Unknown,,Company - Private,,,,,
221,Plover Bay Technologies Limited,Quality Engineer,Data Engineer,Hong Kong,4.0,201 to 500 Employees,,Company - Public,,,,,
222,Paul Y. Engineering Group,Assistant Engineer/ Project Engineer,Data Engineer,Hong Kong,3.2,1001 to 5000 Employees,,Company - Private,,,,,
223,亞積邦租賃有限公司 AP Rentals Limited,Service Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
224,ConnectedGroup Limited,Data Engineer (Data Warehouse/ ETL/ Project) - Banking/ FS,Data Engineer,Hong Kong,4.1,51 to 200 Employees,1997,Company - Private,Staffing & Outsourcing,Business Services,,,
225,Johnson Electric Industrial Manufactory Limited,Lead Engineer (Material Development),Data Engineer,Hong Kong,3.6,10000+ Employees,1959,Company - Public,Transportation Equipment Manufacturing,Manufacturing,,,
226,Intact,"Data Scientist Intern – Hong Kong, Intact Lab",Data Engineer,Hong Kong,4.4,10000+ Employees,,Company - Public,Insurance Carriers,Insurance,,,
227,Harbour Plaza Resort City (H.K.) Resources Limited,Senior Duty Engineer,Data Engineer,Hong Kong,3.1,51 to 200 Employees,,Unknown,"Hotels, Motels, & Resorts",Travel & Tourism,,,
228,"The Bank of East Asia, Limited",Fintech Career Accelerator Scheme - Data Engineer Intern,Data Engineer,Hong Kong,3.1,5001 to 10000 Employees,,Company - Public,Banks & Credit Unions,Finance,,,
229,SmartBLKTrade Limited (SBT),"Research Data Scientist / Big Data Engineer, AI Dept",Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
230,RC Labs Ltd.,Machine Learning Engineer / Data Scientist (Battery Modeling),Data Engineer,Hong Kong,4.1,,,,,,,,
231,SmartBLKTrade Limited (SBT),Director of AI Dept / Research Data Scientist / AI Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
232,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Data Engineer,Hong Kong,4.0,,,,,,HK$240K - HK$360K,240.0,360.0
233,Jellibeans Hong Kong Limited,Junior Data Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
234,OPS Communication Ltd.,Systems Engineer / Senior Systems Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
235,"Hyatt Regency Hong Kong, Sha Tin",Duty Engineer 當值工程師,Data Engineer,Hong Kong,4.2,10000+ Employees,1957,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,,,
236,APT Satellite Company Limited,Assistant Satellite Operations Engineer (SCC),Data Engineer,Hong Kong,4.0,Unknown,,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,,,
