,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
360,Prive Financial,Software Engineer In Test - Data Services,Data Engineer,Hong Kong,2.7,1 to 50 Employees,2011,Company - Private,Investment Banking & Asset Management,Finance,,,
361,Pinpoint Asia,Test Engineer (Mobile)- FinTech R&D Platform,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$147K - HK$240K,147.0,240.0
362,Bowtie,(Senior) Backend Software Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
363,Hays,PLC Engineer,Data Engineer,Hong Kong,3.7,5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,Business Services,,,
364,Bowtie,Software Engineer Intern (Hong Kong based),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
365,Macroview Telecom Limited,Solution Engineer / Consultant - Data Centre Virtualization & Data Security Solutions,Data Engineer,Quarry Bay,3.0,501 to 1000 Employees,1991,Company - Private,Internet,Information Technology,,,
366,Build King Holdings Ltd,Assistant E&M Manager / Senior / E&M Engineer - Plumbing and Drainage (Ref: CT\AEMM/SEME\EME - P&D),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",,,
367,Convoy Global Holdings Limited,"Software Engineer, Backend (Digital Health & Wealth Platform)",Data Engineer,Chai Wan,3.4,1001 to 5000 Employees,1993,Company - Private,Insurance Agencies & Brokerages,Insurance,,,
368,Pinpoint Asia Limited,Windows Support Engineer (Top Financial Firm),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
369,Recruit Logic,Senior Fullstack Software Engineer (Java; 60K),Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
370,"Tangspac, EA Licence No: 07C3635",Data Analyst (Bank),Data Engineer,Hong Kong,3.9,,,,,,,,
371,Neo Derm Ltd.,Data Scientist,Data Engineer,Hong Kong,2.4,1001 to 5000 Employees,1997,Company - Private,Consumer Products Manufacturing,Manufacturing,HK$300K - HK$365K,300.0,365.0
372,"Industrial Bank Co., Ltd.",IT Network Engineer,Data Engineer,Hong Kong,3.1,10000+ Employees,,Company - Public,Banks & Credit Unions,Finance,,,
373,ATAL Engineering Group 安樂工程集團,Sales Engineer (REF: ADC/SALES),Data Engineer,Hong Kong,4.0,,,,,,,,
374,APT Satellite,Assistant Operation Engineer (SAC),Data Engineer,Hong Kong,4.2,Unknown,,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,,,
375,Pinpoint Asia,Support Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$245K - HK$420K,245.0,420.0
376,Selby Jennings,Senior Full-Stack Software Engineer,Data Engineer,Hong Kong,3.4,201 to 500 Employees,2004,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,HK$264K - HK$732K,264.0,732.0
377,Logistics and Supply Chain MultiTech R&D Centre Limited,Junior Electronic Engineer (Technology Development),Data Engineer,Hong Kong,4.0,51 to 200 Employees,,Government,,,,,
